Date : 2022-06-07 15:03:48
Directory : /Users/ozrtayyip/Desktop/adoppet-api
Total : 83 files,  3485 codes, 155 comments, 528 blanks, all 4168 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |         57 |      2,897 |         27 |        346 |      3,270 |
| SQL                |         15 |        168 |        114 |         79 |        361 |
| Prisma             |          1 |        147 |          2 |         65 |        214 |
| JSON               |          4 |        116 |          8 |          2 |        126 |
| Markdown           |          1 |         51 |          2 |         21 |         74 |
| Solidity           |          2 |         36 |          2 |         11 |         49 |
| JavaScript         |          1 |         25 |          0 |          1 |         26 |
| YAML               |          1 |         24 |          0 |          3 |         27 |
| JSON with Comments |          1 |         21 |          0 |          0 |         21 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                   |         83 |      3,485 |        155 |        528 |      4,168 |
| prisma                                                                                                              |         17 |      1,966 |        116 |        165 |      2,247 |
| prisma/migrations                                                                                                   |         15 |        168 |        114 |         79 |        361 |
| prisma/migrations/20220313203554_init                                                                               |          1 |         18 |          2 |          4 |         24 |
| prisma/migrations/20220313211626_update_modals                                                                      |          1 |         23 |         13 |          8 |         44 |
| prisma/migrations/20220315173211_refresh_token                                                                      |          1 |          3 |          3 |          3 |          9 |
| prisma/migrations/20220317135102_adoption                                                                           |          1 |         10 |          3 |          4 |         17 |
| prisma/migrations/20220320212331_types                                                                              |          1 |         24 |         14 |         10 |         48 |
| prisma/migrations/20220320220414_decimal_to_float                                                                   |          1 |          2 |          8 |          1 |         11 |
| prisma/migrations/20220320222003_gender                                                                             |          1 |          9 |         11 |          5 |         25 |
| prisma/migrations/20220321212246_unique_favorites                                                                   |          1 |          1 |          7 |          1 |          9 |
| prisma/migrations/20220322130948_post                                                                               |          1 |         11 |          4 |          5 |         20 |
| prisma/migrations/20220322141926_adress                                                                             |          1 |         13 |          4 |          6 |         23 |
| prisma/migrations/20220322145622_post_update                                                                        |          1 |          6 |         11 |          5 |         22 |
| prisma/migrations/20220326230654_address_location                                                                   |          1 |         30 |         19 |         16 |         65 |
| prisma/migrations/20220430203552_adoption_process                                                                   |          1 |          8 |         10 |          5 |         23 |
| prisma/migrations/20220508150453_pet_images                                                                         |          1 |          9 |          4 |          5 |         18 |
| prisma/migrations/20220509202029_add_notification_token_for_user                                                    |          1 |          1 |          1 |          1 |          3 |
| prisma/seed                                                                                                         |          1 |      1,651 |          0 |         21 |      1,672 |
| src                                                                                                                 |         57 |      1,160 |         28 |        309 |      1,497 |
| src/adopt                                                                                                           |          6 |        136 |          0 |         34 |        170 |
| src/adopt/dto                                                                                                       |          2 |          6 |          0 |          3 |          9 |
| src/adopt/enum                                                                                                      |          1 |          7 |          0 |          1 |          8 |
| src/auth                                                                                                            |         16 |        227 |          0 |         44 |        271 |
| src/auth/decorator                                                                                                  |          3 |         14 |          0 |          3 |         17 |
| src/auth/dto                                                                                                        |          2 |         14 |          0 |          2 |         16 |
| src/auth/guard                                                                                                      |          3 |         24 |          0 |          4 |         28 |
| src/auth/strategy                                                                                                   |          3 |         48 |          0 |          4 |         52 |
| src/auth/types                                                                                                      |          2 |          5 |          0 |          0 |          5 |
